accx,accy,accz,subject,activity
0.1885324,0.7847369,0.5737446,1,6
0.1889116,0.7864455,0.5737621,1,6
0.1893159,0.7864038,0.5733927,1,6
0.1884286,0.7859333,0.5726153,1,6
0.1892415,0.7875085,0.5720428,1,6
0.1899462,0.789263,0.5721597,1,6
0.1900181,0.7891802,0.5722391,1,6
0.1898275,0.7879568,0.5720074,1,6
0.1884193,0.7886219,0.5702199,1,6
0.1897342,0.7895955,0.5697519,1,6
0.1909962,0.7885286,0.5728335,1,6
0.1895701,0.7888971,0.5761424,1,6
0.1885201,0.7902336,0.5745796,1,6
0.1870854,0.7899863,0.5722243,1,6
0.1872973,0.7892448,0.5740361,1,6
0.1889485,0.7871509,0.5727872,1,6
0.1888711,0.7870312,0.569844,1,6
0.1889412,0.7897525,0.5684102,1,6
0.1889354,0.7888214,0.5656421,1,6
0.1889091,0.7864733,0.5663757,1,6
0.1899619,0.7861493,0.5674831,1,6
0.1904469,0.7869156,0.5660355,1,6
0.1903714,0.7889162,0.5668444,1,6
0.1899964,0.7892638,0.567575,1,6
0.1891749,0.7885895,0.5698977,1,6
0.1878627,0.7886663,0.5735985,1,6
0.1869762,0.7871023,0.5725276,1,6
0.1876612,0.7858469,0.572061,1,6
0.1876541,0.7881362,0.5763472,1,6
0.1872359,0.7912062,0.5790564,1,6
0.1877015,0.7906453,0.5787391,1,6
0.1870824,0.7887838,0.5788094,1,6
0.1856432,0.7896033,0.5784341,1,6
0.1846728,0.7899868,0.5766764,1,6
0.1861594,0.7891947,0.576588,1,6
0.1885406,0.7897296,0.5772918,1,6
0.187506,0.7895034,0.5753169,1,6
0.1864065,0.7882935,0.5745902,1,6
0.1858797,0.7868675,0.5772071,1,6
0.1855329,0.784732,0.5783319,1,6
0.1905509,0.784796,0.5772106,1,6
0.1935387,0.788019,0.5740567,1,6
0.1897201,0.791138,0.5683755,1,6
0.1887956,0.7908111,0.5661464,1,6
0.1891466,0.7887383,0.5728698,1,6
0.1874226,0.7887823,0.582267,1,6
0.1875594,0.7867527,0.5851367,1,6
0.1874468,0.7836946,0.5833282,1,6
0.1873739,0.7873696,0.5786645,1,6
0.1877903,0.7909396,0.572948,1,6
0.1872035,0.7901892,0.574241,1,6
0.1880026,0.7915091,0.57661,1,6
0.1893508,0.7904624,0.5738984,1,6
0.1906017,0.7866741,0.5737959,1,6
0.1907529,0.787293,0.5730339,1,6
0.1896776,0.7880219,0.5701693,1,6
0.1903454,0.7870723,0.5719253,1,6
0.189565,0.7876757,0.5754233,1,6
0.1880276,0.7877376,0.5782253,1,6
0.1880904,0.7882064,0.5760936,1,6
0.1861885,0.7893557,0.5716007,1,6
0.1848472,0.7888791,0.5747654,1,6
0.1858123,0.7886923,0.5762908,1,6
0.1871258,0.7890637,0.5746033,1,6
0.1880281,0.7888231,0.5790647,1,6
0.1871804,0.7888641,0.5810405,1,6
0.1864251,0.788948,0.5769449,1,6
0.1868301,0.7888424,0.5737875,1,6
0.1893808,0.7889042,0.5754996,1,6
0.193013,0.7888997,0.5775969,1,6
0.1915359,0.7883337,0.5748542,1,6
0.1879762,0.7862226,0.574493,1,6
0.1871531,0.7842604,0.5754285,1,6
0.1857488,0.7863555,0.5732526,1,6
0.1831696,0.7895783,0.5718182,1,6
0.1803184,0.7890574,0.5709065,1,6
0.1806515,0.7884569,0.5741568,1,6
0.1861293,0.7890645,0.5776112,1,6
0.1904376,0.7878611,0.573399,1,6
0.1910547,0.7871513,0.5698721,1,6
0.1899787,0.7875848,0.5711676,1,6
0.1897616,0.7875152,0.5731301,1,6
0.1899475,0.7873302,0.574832,1,6
0.1882626,0.7865649,0.5754642,1,6
0.1885583,0.7858674,0.5748772,1,6
0.1878553,0.7860246,0.5747953,1,6
0.1830951,0.7864296,0.5747486,1,6
0.1819148,0.7873415,0.5719931,1,6
0.1864314,0.7894612,0.5690635,1,6
0.1915793,0.7910527,0.5697681,1,6
0.1911739,0.7900473,0.5733106,1,6
0.1899167,0.7890325,0.5750567,1,6
0.1928804,0.7884337,0.5698441,1,6
0.1926868,0.7859525,0.5667027,1,6
0.1925523,0.784231,0.5780332,1,6
0.1939557,0.7857183,0.5893528,1,6
0.191714,0.7885878,0.5829323,1,6
0.1890132,0.7894401,0.5731926,1,6
0.1841234,0.7886715,0.5715276,1,6
0.1820642,0.7888887,0.5690997,1,6
0.1869585,0.7889571,0.566626,1,6
0.1883825,0.7888111,0.5648088,1,6
0.1875716,0.7893252,0.5648321,1,6
0.1893052,0.7906008,0.569209,1,6
0.1907563,0.7922635,0.5697491,1,6
0.1904709,0.7906249,0.5691328,1,6
0.188834,0.7849527,0.5689457,1,6
0.1897158,0.7810343,0.5671251,1,6
0.1934773,0.7851225,0.5692342,1,6
0.1960576,0.7916617,0.5716858,1,6
0.1918401,0.7905469,0.5740698,1,6
0.1843273,0.7883719,0.5737691,1,6
0.1846396,0.7897743,0.5705786,1,6
0.1853272,0.7903047,0.573498,1,6
0.1818633,0.7921827,0.5762565,1,6
0.1826605,0.7919165,0.577939,1,6
0.185966,0.7889535,0.579042,1,6
0.1912945,0.7889094,0.5758215,1,6
0.1942465,0.7886919,0.5745407,1,6
0.1923155,0.7893953,0.5717069,1,6
0.1934231,0.7919226,0.5704611,1,6
0.1942505,0.7928625,0.5722527,1,6
0.1939824,0.7910223,0.5690839,1,6
0.1936473,0.7874254,0.5710287,1,6
0.1888985,0.7886141,0.5750566,1,6
0.1844664,0.7900284,0.5744158,1,6
0.1824373,0.7880764,0.5765579,1,6
0.1829534,0.7897542,0.5783225,1,6
0.1842144,0.789262,0.5811023,1,6
0.1834624,0.7873072,0.5812166,1,6
0.1870794,0.7895197,0.5753562,1,6
0.1911454,0.7901038,0.5745941,1,6
0.1895222,0.7901226,0.5750216,1,6
0.1880945,0.7902495,0.5743903,1,6
0.1880209,0.7879023,0.5738431,1,6
0.1873188,0.7852251,0.5713546,1,6
0.1863106,0.7841989,0.5741246,1,6
0.1859937,0.7857334,0.575794,1,6
0.1863163,0.7866547,0.5719267,1,6
0.1869139,0.7859035,0.5689879,1,6
0.1879213,0.7864202,0.5689205,1,6
0.1875066,0.7883752,0.5737829,1,6
0.1872612,0.7911417,0.5762694,1,6
0.1877602,0.7922607,0.5765574,1,6
0.1873353,0.790597,0.5791025,1,6
0.1875385,0.7897667,0.5774836,1,6
0.1877437,0.7904637,0.5764343,1,6
0.1882717,0.7901762,0.5751269,1,6
0.1892882,0.7894028,0.5704916,1,6
0.1885493,0.7898052,0.5719031,1,6
0.1865677,0.7913057,0.5735743,1,6
0.1839103,0.7922157,0.5721805,1,6
0.1829028,0.7909966,0.5741498,1,6
0.1854651,0.7887784,0.5740138,1,6
0.1879783,0.786796,0.5728849,1,6
0.1887644,0.7861088,0.573781,1,6
0.18987,0.78646,0.5713438,1,6
0.1907178,0.7861891,0.5686478,1,6
0.1902065,0.7878102,0.5696075,1,6
0.1897581,0.7896235,0.5725423,1,6
0.1881425,0.7876561,0.5751859,1,6
0.1841842,0.7860771,0.576967,1,6
0.1822805,0.7860504,0.579413,1,6
0.1835125,0.7858249,0.5801689,1,6
0.1838455,0.7853954,0.5812911,1,6
0.1842397,0.7846898,0.5830634,1,6
0.187072,0.7865773,0.576474,1,6
0.1893303,0.789252,0.5695645,1,6
0.1898714,0.7882358,0.5739446,1,6
0.1904844,0.7841904,0.5779743,1,6
0.1902162,0.7804667,0.5759922,1,6
0.1889939,0.7805696,0.5770043,1,6
0.1878534,0.7823222,0.5787078,1,6
0.187117,0.7853208,0.5768023,1,6
0.1875204,0.7905597,0.5748759,1,6
0.1877021,0.7897703,0.572221,1,6
0.1872948,0.7860659,0.5712544,1,6
0.1877623,0.787225,0.5735347,1,6
0.18844,0.786033,0.5747357,1,6
0.1890449,0.7852238,0.5768666,1,6
0.1891079,0.7871704,0.577237,1,6
0.1886238,0.786253,0.5757066,1,6
0.188981,0.7895626,0.5773809,1,6
0.1889884,0.7933739,0.5742357,1,6
0.1890579,0.7906581,0.5698107,1,6
0.190831,0.7877411,0.5738464,1,6
0.1916252,0.7851822,0.5762145,1,6
0.1887888,0.7848329,0.5756556,1,6
0.184594,0.7865527,0.5768557,1,6
0.1839477,0.787617,0.5726044,1,6
0.1859923,0.7896828,0.5704199,1,6
0.1881763,0.7887849,0.5742542,1,6
0.1911841,0.7867515,0.5720133,1,6
0.1909868,0.7875461,0.5733064,1,6
0.1895825,0.7869425,0.5786951,1,6
0.1925595,0.7841929,0.5756673,1,6
0.1934552,0.7826582,0.5748121,1,6
0.1908929,0.7857067,0.5739799,1,6
0.1898617,0.790133,0.5690265,1,6
0.1900359,0.7915622,0.5681524,1,6
0.1906579,0.79209,0.5677729,1,6
0.1898197,0.7912013,0.5685374,1,6
0.1873646,0.7896096,0.5701942,1,6
0.1828684,0.7887642,0.571835,1,6
0.1795794,0.7880106,0.5734102,1,6
0.1849651,0.7866779,0.572421,1,6
0.1898647,0.7810848,0.5739714,1,6
0.1873354,0.7771979,0.574307,1,6
0.1878141,0.7804447,0.5736756,1,6
0.1908195,0.7841411,0.575734,1,6
0.1903837,0.7868935,0.5739925,1,6
0.1896451,0.7869316,0.5740247,1,6
0.188727,0.78525,0.579371,1,6
0.1868514,0.7872107,0.5826897,1,6
0.1872478,0.7873775,0.5790847,1,6
0.1882214,0.7860382,0.5745627,1,6
0.1880524,0.7870578,0.5808334,1,6
0.1891577,0.7861151,0.590582,1,6
0.1892354,0.7855425,0.593163,1,6
0.1885763,0.7866173,0.5868329,1,6
0.1900609,0.7859551,0.5781818,1,6
0.1905773,0.7859581,0.5799199,1,6
0.1901537,0.7863846,0.5781526,1,6
0.1903369,0.7858945,0.5673874,1,6
0.1900321,0.7863619,0.567162,1,6
0.1894458,0.7870688,0.5708084,1,6
0.1893168,0.7872812,0.5734763,1,6
0.1923022,0.7859481,0.5785268,1,6
0.1956624,0.7840797,0.5773933,1,6
0.1930678,0.7854964,0.5770004,1,6
0.1883855,0.7869053,0.5788249,1,6
0.1868422,0.7858145,0.5771652,1,6
0.1872773,0.786343,0.5778012,1,6
0.1878857,0.7881757,0.5776017,1,6
0.1874233,0.7892148,0.5746561,1,6
0.1872679,0.7891783,0.5730999,1,6
0.1885175,0.7879896,0.5735527,1,6
0.1909149,0.7863006,0.5759405,1,6
0.1940868,0.7840927,0.5767927,1,6
0.1936942,0.7842906,0.5763206,1,6
0.1916366,0.786621,0.5760579,1,6
0.1918116,0.7869444,0.5744869,1,6
0.1899102,0.7874466,0.5732058,1,6
0.18911,0.7870502,0.5729877,1,6
0.1894931,0.7852663,0.5721589,1,6
0.186471,0.7866677,0.5702578,1,6
0.187108,0.7881907,0.5705376,1,6
0.188853,0.788793,0.5724734,1,6
0.1888392,0.7885798,0.5715681,1,6
0.1928602,0.7866627,0.5695222,1,6
0.1938951,0.7873443,0.5674861,1,6
0.1912776,0.7869353,0.5671807,1,6
0.1907504,0.7841881,0.5679113,1,6
0.1899531,0.783786,0.565289,1,6
0.1900133,0.783869,0.5662236,1,6
0.1896921,0.7866679,0.5717979,1,6
0.1883181,0.7900053,0.5757836,1,6
0.1891167,0.7872554,0.5782666,1,6
0.1899969,0.7855121,0.5765894,1,6
0.1901515,0.789994,0.5738907,1,6
0.1896029,0.7931441,0.5731198,1,6
0.1882246,0.7912442,0.5714546,1,6
0.1879426,0.789278,0.5706945,1,6
0.1875281,0.7888478,0.5700027,1,6
0.1873239,0.788562,0.5693619,1,6
0.1892022,0.7887517,0.5714473,1,6
0.1918291,0.7871822,0.5758663,1,6
0.193079,0.7852924,0.5771673,1,6
0.1896435,0.7865131,0.5755045,1,6
0.1846849,0.7882152,0.577939,1,6
0.184317,0.789145,0.57673,1,6
0.1826253,0.7897477,0.5738712,1,6
0.1799213,0.7911956,0.5769896,1,6
0.1850212,0.7934405,0.5752854,1,6
0.1896468,0.7908644,0.5746087,1,6
0.1873024,0.7871798,0.5773509,1,6
0.1876306,0.7878192,0.5751298,1,6
0.1926411,0.783348,0.5721389,1,6
0.1954603,0.7777475,0.5680138,1,6
0.1934919,0.7850155,0.5684918,1,6
0.1903023,0.7923666,0.5701455,1,6
0.1901043,0.7882012,0.5669645,1,6
0.1913628,0.785715,0.570721,1,6
0.1916666,0.7869117,0.5756556,1,6
0.1907536,0.7856207,0.5765755,1,6
0.1889042,0.7870276,0.5762156,1,6
0.1885468,0.7884975,0.5747143,1,6
0.1891377,0.7878115,0.5797264,1,6
0.1889585,0.7893759,0.583819,1,6
0.1897845,0.7887586,0.5816963,1,6
0.191332,0.7860293,0.5815144,1,6
0.1940336,0.7833609,0.581703,1,6
0.1977101,0.7806903,0.5793101,1,6
0.1974262,0.782526,0.5760449,1,6
0.1935084,0.7854517,0.5739952,1,6
0.1902266,0.7871527,0.5722029,1,6
0.1879154,0.7878842,0.5735659,1,6
0.1869861,0.7843568,0.5788337,1,6
0.1879562,0.782513,0.5789262,1,6
0.1894221,0.7844426,0.5786351,1,6
0.1910207,0.785111,0.5822551,1,6
0.1923674,0.7854671,0.5809911,1,6
0.1928145,0.7882302,0.5792124,1,6
0.1914768,0.7924188,0.5803514,1,6
0.1885537,0.7920729,0.5787802,1,6
0.1885079,0.7885688,0.5776768,1,6
0.1904108,0.7864743,0.5787113,1,6
0.1902368,0.7827979,0.5800828,1,6
0.1903286,0.7808828,0.5822458,1,6
0.190181,0.7829947,0.5793719,1,6
0.1891584,0.785619,0.5732389,1,6
0.1886925,0.7884073,0.573929,1,6
0.1877387,0.7880442,0.5785231,1,6
0.1874158,0.7866157,0.5812846,1,6
0.1881656,0.7877653,0.5795042,1,6
0.1910264,0.7867323,0.576067,1,6
0.1939706,0.7848748,0.5780795,1,6
0.1914964,0.7833647,0.578177,1,6
0.1889892,0.7793827,0.5749836,1,6
0.1909029,0.7788237,0.5754577,1,6
0.1924572,0.7836997,0.5766833,1,6
0.1931371,0.7875901,0.5792411,1,6
0.1931097,0.788171,0.5796581,1,6
0.1909518,0.7864805,0.5763493,1,6
0.1896943,0.7837633,0.5753674,1,6
0.190353,0.7812052,0.5742403,1,6
0.190399,0.7812587,0.5729275,1,6
0.1901895,0.7833496,0.5712823,1,6
0.1902948,0.7843672,0.5705183,1,6
0.1897456,0.7860027,0.5757279,1,6
0.1876183,0.7843956,0.5811023,1,6
0.1854273,0.7803904,0.5820763,1,6
0.1867211,0.7837923,0.5776594,1,6
0.1887526,0.7863005,0.5728238,1,6
0.1890442,0.7840147,0.5740401,1,6
0.1905582,0.7857538,0.5705904,1,6
0.1908823,0.7863294,0.5653633,1,6
0.1892674,0.7839959,0.5728401,1,6
0.1886979,0.7833013,0.5805649,1,6
0.1872014,0.7848108,0.5778164,1,6
0.1872089,0.7871324,0.5777719,1,6
0.1900379,0.7861231,0.585069,1,6
0.1905352,0.7849928,0.5882764,1,6
0.190252,0.7840136,0.5833522,1,6
0.1900125,0.7813877,0.5783967,1,6
0.1880677,0.7847753,0.5798959,1,6
0.186326,0.7904985,0.5805671,1,6
0.1858659,0.7897486,0.5782815,1,6
0.1886402,0.7846773,0.5827815,1,6
0.1923767,0.7803047,0.5848566,1,6
0.1936209,0.7816925,0.579477,1,6
0.1933265,0.785012,0.5767982,1,6
0.1925433,0.7847552,0.5737586,1,6
0.1929088,0.7859983,0.5724465,1,6
0.191487,0.7884474,0.5733394,1,6
0.1889231,0.7885494,0.5731266,1,6
0.1886773,0.7865748,0.5768984,1,6
0.1875778,0.7836999,0.5770575,1,6
0.2445142,0.9502907,0.1741417,11,6
0.2446238,0.9477933,0.1760255,11,6
0.2455519,0.949285,0.1804649,11,6
0.2460483,0.952067,0.1804769,11,6
0.248106,0.9537189,0.1814495,11,6
0.2484674,0.952332,0.1825414,11,6
0.2469544,0.9504576,0.1858203,11,6
0.2452967,0.9498839,0.1864559,11,6
0.2453219,0.948591,0.181782,11,6
0.2466536,0.9484877,0.1825901,11,6
0.2450249,0.9477463,0.1826096,11,6
0.2439105,0.9467019,0.1792321,11,6
0.242878,0.9487221,0.1800058,11,6
0.241338,0.9534268,0.1781589,11,6
0.2427219,0.958767,0.1732262,11,6
0.2440203,0.9569791,0.1736311,11,6
0.2464838,0.9504497,0.1784677,11,6
0.246357,0.947747,0.1836617,11,6
0.2426265,0.9463478,0.185399,11,6
0.2422876,0.947732,0.1806205,11,6
0.2415055,0.9503011,0.1753234,11,6
0.2425365,0.9495917,0.1742727,11,6
0.2458882,0.9487759,0.1734312,11,6
0.2461782,0.948131,0.1732324,11,6
0.2478592,0.9496753,0.1740495,11,6
0.2487178,0.9507862,0.1739595,11,6
0.2467757,0.9493171,0.1762038,11,6
0.2453549,0.9503375,0.1788185,11,6
0.2453854,0.9500824,0.1778977,11,6
0.2465149,0.9494088,0.1775983,11,6
0.2460611,0.949283,0.1804399,11,6
0.2482883,0.9461316,0.1838007,11,6
0.2502998,0.9453309,0.1853369,11,6
0.2442395,0.9459742,0.1834392,11,6
0.2387867,0.9459782,0.1798612,11,6
0.239925,0.9472237,0.1782119,11,6
0.242101,0.9490429,0.1773161,11,6
0.2415969,0.950854,0.1766015,11,6
0.2415977,0.9496077,0.1790003,11,6
0.2433634,0.9477521,0.18252,11,6
0.2447242,0.9475451,0.1814568,11,6
0.2466061,0.9484993,0.1759081,11,6
0.245859,0.9504474,0.1725816,11,6
0.2442292,0.9475069,0.1756695,11,6
0.2449917,0.9449783,0.1815276,11,6
0.2449772,0.9497361,0.1842236,11,6
0.2457987,0.9525178,0.1850484,11,6
0.2444553,0.9495504,0.1865223,11,6
0.2418354,0.9476587,0.1851954,11,6
0.2435087,0.9497036,0.1820467,11,6
0.2442646,0.9507256,0.1775873,11,6
0.2442697,0.9492044,0.1715503,11,6
0.24487,0.9482787,0.1714318,11,6
0.24429,0.9468544,0.1752447,11,6
0.2454152,0.946574,0.1761398,11,6
0.2462479,0.9469535,0.1765599,11,6
0.2457104,0.9454378,0.1767593,11,6
0.2458173,0.9465147,0.1769443,11,6
0.2458497,0.9483974,0.1780935,11,6
0.2458518,0.9488561,0.1768188,11,6
0.2458083,0.9515414,0.1750113,11,6
0.2458303,0.9528374,0.1758413,11,6
0.2458743,0.9512604,0.1766584,11,6
0.2457715,0.9495583,0.176495,11,6
0.2458871,0.947925,0.1762461,11,6
0.2454545,0.9486282,0.1758408,11,6
0.2440299,0.9503981,0.173856,11,6
0.2425556,0.9516517,0.1714237,11,6
0.2427881,0.9529629,0.1733938,11,6
0.2438689,0.950137,0.17725,11,6
0.2446239,0.9464589,0.1777159,11,6
0.2461024,0.9479917,0.1752353,11,6
0.2454215,0.9493133,0.1725352,11,6
0.2440467,0.9485643,0.1733238,11,6
0.2474991,0.9494207,0.1753254,11,6
0.2504983,0.9504112,0.1775145,11,6
0.2488483,0.9502234,0.1819401,11,6
0.246361,0.950665,0.1811147,11,6
0.2452335,0.9518126,0.1772548,11,6
0.245876,0.9516908,0.1778703,11,6
0.246105,0.9517611,0.1773845,11,6
0.2455601,0.9524094,0.1773611,11,6
0.2459544,0.9508263,0.1765008,11,6
0.2458683,0.948976,0.1706286,11,6
0.2455353,0.9476761,0.1715226,11,6
0.2450644,0.9465266,0.1766619,11,6
0.2439166,0.9474212,0.175838,11,6
0.2434578,0.9473162,0.1737673,11,6
0.243384,0.9459008,0.1721265,11,6
0.2445743,0.9463919,0.1743401,11,6
0.2465989,0.9483655,0.1789537,11,6
0.2460312,0.950852,0.1771773,11,6
0.2452747,0.9502997,0.1758905,11,6
0.2463886,0.9484091,0.177269,11,6
0.2467135,0.9495568,0.1756264,11,6
0.2472477,0.9486396,0.1750882,11,6
0.2472712,0.9446183,0.1738081,11,6
0.2450459,0.9427637,0.1725979,11,6
0.2445383,0.9461852,0.1753372,11,6
0.2470921,0.9507499,0.1747797,11,6
0.2497181,0.949512,0.1717691,11,6
0.2493346,0.9493795,0.1712536,11,6
0.2467993,0.9520284,0.1737944,11,6
0.2455796,0.9508645,0.1780794,11,6
0.2450492,0.9501241,0.1767845,11,6
0.2443081,0.9486912,0.1748903,11,6
0.2427355,0.9477986,0.1767144,11,6
0.2425192,0.9511517,0.1750289,11,6
0.2449448,0.9512967,0.1746592,11,6
0.2458776,0.9508054,0.1757362,11,6
0.2485362,0.9521111,0.175088,11,6
0.251025,0.9510233,0.1763614,11,6
0.2473262,0.9513017,0.1751831,11,6
0.2437213,0.9517445,0.1736512,11,6
0.2422712,0.9511964,0.1734418,11,6
0.2419255,0.9524937,0.1716334,11,6
0.2419939,0.9530455,0.1729027,11,6
0.2414743,0.9527396,0.1756735,11,6
0.2437311,0.9527629,0.1771854,11,6
0.2451308,0.9525533,0.1758507,11,6
0.2442508,0.9519802,0.1720354,11,6
0.2444461,0.9506824,0.1704455,11,6
0.2447753,0.9495009,0.1709223,11,6
0.2462936,0.9485217,0.1748971,11,6
0.2477473,0.9490814,0.1776969,11,6
0.2471834,0.9507393,0.1760778,11,6
0.2457076,0.9498023,0.177007,11,6
0.2439964,0.9486872,0.1798862,11,6
0.2434762,0.9487799,0.1820691,11,6
0.244484,0.9486516,0.1808507,11,6
0.2449724,0.9505436,0.1797309,11,6
0.2438838,0.95206,0.1832303,11,6
0.2434889,0.9511392,0.1837674,11,6
0.2431683,0.9503408,0.1830319,11,6
0.2428915,0.9498249,0.1836333,11,6
0.2454315,0.9495465,0.183187,11,6
0.2472527,0.9483767,0.1844639,11,6
0.2468465,0.9467568,0.1849581,11,6
0.2443188,0.948629,0.1828668,11,6
0.2401287,0.9529089,0.175884,11,6
0.2400185,0.955114,0.1689896,11,6
0.2426394,0.9541606,0.1760365,11,6
0.2443861,0.952754,0.1863628,11,6
0.2449217,0.9524082,0.1850078,11,6
